# Created with esearch -db bioproject -query PRJDB4176 | elink -target biosample \
# | efetch -mode xml
# | xtract -pattern BioSample -block "Ids/Id" -if "Id@db" -equals "BioSample" -element "Id" \
#                             -block 'Attributes/Attribute' \
#                             -if "Attribute@attribute_name" -equals "host_disease_stat" \
#                              -element "Attribute"
sample_accession	Subject_ID	disease_status
SAMD00114757	10158	
SAMD00114756	10193	
SAMD00114754	10267	
SAMD00114752	10299	
SAMD00114751	10294	
SAMD00114750	10284	
SAMD00114749	10277	
SAMD00114748	10140	
SAMD00114747	10135	
SAMD00114746	10134	
SAMD00114745	10132	
SAMD00114744	10126	
SAMD00114743	10154	
SAMD00114742	10152	
SAMD00114741	10150	
SAMD00114740	10147	
SAMD00114739	10124	
SAMD00114738	10119	
SAMD00114736	10114	
SAMD00114735	10111	
SAMD00114733	10324	
SAMD00114732	10323	
SAMD00114730	10318	
SAMD00114729	10334	
SAMD00114728	10333	
SAMD00114726	10330	
SAMD00114725	10327	
SAMD00114723	10236	
SAMD00114721	10231	
SAMD00114720	10229	
SAMD00114719	10226	
SAMD00114718	10219	
SAMD00154995	10582	CRC (Stage III/IV)
SAMD00154994	10578	CRC (Stage III/IV)
SAMD00154993	10544	CRC (Stage III/IV)
SAMD00154992	10515	Healthy control
SAMD00154991	10497	Healthy control
SAMD00115035	10099	CRC (Stage III/IV)
SAMD00115023	10048	Healthy control
SAMD00115022	10060	Healthy control
SAMD00115020	10059	CRC (Stage III/IV)
SAMD00115013	10380	CRC (Stage III/IV)
SAMD00115009	10362	Healthy control
SAMD00115008	10356	Healthy control
SAMD00115002	10335	Healthy control
SAMD00115001	10320	Healthy control
SAMD00115000	10103	CRC (Stage III/IV)
SAMD00114998	10100	Healthy control
SAMD00114997	10080	Healthy control
SAMD00114994	10304	Healthy control
SAMD00114983	10234	Healthy control
SAMD00114982	10246	Healthy control
SAMD00114977	10223	Healthy control
SAMD00114974	10188	Healthy control
SAMD00114970	10037	Healthy control
SAMD00114967	10850	Healthy control
SAMD00114966	10847	CRC (Stage III/IV)
SAMD00114964	10818	CRC (Stage III/IV)
SAMD00114959	10784	Healthy control
SAMD00114954	10747	CRC (Stage III/IV)
SAMD00114953	10733	Healthy control
SAMD00114950	10716	Healthy control
SAMD00114946	10754	CRC (Stage III/IV)
SAMD00114938	10632	Healthy control
SAMD00114931	10656	CRC (Stage III/IV)
SAMD00114929	10639	Healthy control
SAMD00114920	10714	CRC (Stage III/IV)
SAMD00114918	10701	Healthy control
SAMD00114915	10761	CRC (Stage III/IV)
SAMD00114912	10725	CRC (Stage III/IV)
SAMD00114895	10661	Healthy control
SAMD00114893	10646	CRC (Stage III/IV)
SAMD00114892	10645	CRC (Stage III/IV)
SAMD00114884	10813	CRC (Stage III/IV)
SAMD00114880	10776	Healthy control
SAMD00114874	10647	Healthy control
SAMD00114871	10616	CRC (Stage III/IV)
SAMD00114865	10570	Healthy control
SAMD00114863	10566	CRC (Stage III/IV)
SAMD00114862	10489	Healthy control
SAMD00114859	10589	Healthy control
SAMD00114849	10556	CRC (Stage III/IV)
SAMD00114843	10541	Healthy control
SAMD00114842	10537	Healthy control
SAMD00114840	10604	CRC (Stage III/IV)
SAMD00114834	10169	Healthy control
SAMD00114829	10486	Healthy control
SAMD00114826	10483	CRC (Stage III/IV)
SAMD00114825	10513	CRC (Stage III/IV)
SAMD00114813	10476	CRC (Stage III/IV)
SAMD00114805	10461	CRC (Stage III/IV)
SAMD00114803	10527	CRC (Stage III/IV)
SAMD00114798	10262	Healthy control
SAMD00114792	10350	Healthy control
SAMD00114783	10353	Healthy control
SAMD00114782	10303	CRC (Stage III/IV)
SAMD00114781	10302	Healthy control
SAMD00114778	10315	Healthy control
SAMD00114770	10207	Healthy control
SAMD00114767	10201	CRC (Stage III/IV)
SAMD00114765	10195	CRC (Stage III/IV)
SAMD00114763	10178	CRC (Stage III/IV)
SAMD00114761	10171	CRC (Stage III/IV)
SAMD00114760	10168	CRC (Stage III/IV)
SAMD00114755	10191	CRC (Stage III/IV)
SAMD00114753	10266	CRC (Stage III/IV)
SAMD00114737	10118	CRC (Stage III/IV)
SAMD00114734	10325	Healthy control
SAMD00114731	10322	CRC (Stage III/IV)
SAMD00114727	10332	CRC (Stage III/IV)
SAMD00114724	10238	CRC (Stage III/IV)
SAMD00114722	10232	CRC (Stage III/IV)
